Question,Target,Dense_Correct,Lexical_Correct
what character did natalie portman play in star wars?,Padmé Amidala,True,True
what country is the grand bahama island in?,Bahamas,True,False
what character did john noble play in lord of the rings?,Denethor II,True,True
where did saki live?,United Kingdom,False,False
what time zone am i in cleveland ohio?,North American Eastern Time Zone,True,False
who did draco malloy end up marrying?,Astoria Greengrass,False,False
where is rome italy located on a map?,Rome,True,True
what is nina dobrev nationality?,Bulgaria,False,False
what country does iceland belong to?,Iceland,True,True
what books did beverly cleary right?,Ramona's World,True,True
where to fly into bali?,Ngurah Rai Airport,True,True
who is the prime minister of ethiopia?,Hailemariam Desalegn,True,True
what to see near sedona arizona?,Sedona Airport,True,True
what high school did president bill clinton attend?,Hot Springs High School,True,False
what form of government does russia have today?,Constitutional republic,False,False
what year lebron james came to the nba?,2003–04 NBA season,True,True
what did the german revolution lead to?,German Democratic Republic,False,True
how much did adriana lima gain during pregnancy?,Spike Guys' Choice Awards,False,False
what does thai mean?,Language,False,False
which wife did king henry behead?,Anne of the Thousand Days,False,False
who was ishmael's mom?,Hagar,False,False
what was malcolm x trying to accomplish?,African Americans' rights,True,False
where are the netherlands on a world map?,Kingdom of the Netherlands,True,True
what is the president of brazil?,Dilma Rousseff,True,False
what are the major cities in france?,Paris,False,False
what city did esther live in?,Susa,False,False
what sport do the toronto maple leafs play?,Ice Hockey,True,True
what is saint nicholas known for?,Grand Duke Alexander Alexandrovich of Russia,False,False
what is martin cooper doing now?,Inventor,False,False
what party was andrew jackson?,Democratic-Republican Party,True,True
what is medicare a?,Centers for Medicare and Medicaid Services,True,True
what is the name of the first harry potter novel?,Harry Potter and the Philosopher's Stone,True,True
what did william shakespeare do for a living?,Poet,False,False
what county is heathrow airport in?,London,False,False
where did dmitri mendeleev study science?,Saint Petersburg State University,True,False
what movie is josh hutcherson in?,Cirque du Freak: The Vampire's Assistant,False,False
what is there to do in laredo tx?,Veterans Field,True,True
what season did tony soprano get shot?,The Sopranos,True,True
where do the san francisco giants play home games?,AT&T Park,True,True
what year did william jennings bryan run for president?,1900 Democratic National Convention,True,True
what was the name of frederick douglass book?,"Narrative of the Life of Frederick Douglass, an American Slave",True,True
who was queen victoria's parents called?,"Prince Edward, Duke of Kent and Strathearn",True,True
what movies did sally field win an oscar for?,Places in the Heart,True,True
what is the first book sherlock holmes appeared in?,A Study in Scarlet,True,True
where does lena river begin and end?,Baikal Mountains,False,False
what countries do people speak portuguese?,Brazil,True,False
where to exchange euros in pittsburgh?,Allegheny County,True,False
what are the names of walt disney kids?,Diane Disney Miller,True,True
who is in the band bush?,Dave Parsons,True,True
when is summer in australia sydney?,City of Sydney,True,True
what timezone is denver co?,Mountain Time Zone,True,False
where does jackie french live?,Australia,False,False
what form of government was practiced in sparta?,Monarchy,False,False
when did the colorado rockies go to the world series?,2007 National League Championship Series,True,True
who was peter parker's first girlfriend?,Marvel Comics,False,False
what college did matt lauer attend?,Ohio University,False,False
where to go in london england?,Regent's Park,False,False
what school did joan miro attend?,Cercle Artístic de Sant Lluc,False,False
who was vincent van gogh inspired by?,Jozef Israëls,True,False
what time zone am i in michigan?,North American Eastern Time Zone,False,False
what is the official language of china 2010?,Chinese language,True,True
what was woodrow wilson's major accomplishments?,United States Secretary of Agriculture,False,False
what language do the speak in pakistan?,English Language,False,False
which part of korea is communist?,North Korea,True,True
where did timothy mcveigh go to prison?,Terre Haute,False,False
what sea does the yangtze river flow into?,East China Sea,True,False
what is charles darwin famous for?,Evolution,False,False
who founded the roanoke settlement?,Rainbow Bluff Expedition,False,False
what kind of money should i take to jamaica?,Jamaican dollar,True,True
who is robert downey jr wife?,Susan Downey,True,True
where do the ny rangers play?,Madison Square Garden,False,False
where is jefferson davis buried?,Hollywood Cemetery,True,False
who does the author stephenie meyer play in the movie twilight?,Woman at Wedding,False,False
when will oscar pistorius compete?,2012 Summer Olympics,True,False
what years have the dallas cowboys won the superbowl?,Super Bowl XXVIII,True,False
what awards has louis sachar won?,National Book Award for Young People's Literature,False,False
who are the current senators from missouri?,Claire McCaskill,True,True
what is the best currency to take to egypt 2013?,Egyptian pound,True,True
what planes does the navy have?,LTV A-7 Corsair II,True,False
where did benjamin franklin died?,Philadelphia,False,False
what to do in cancun with family?,Belize Barrier Reef,False,False
what is the local language of israel?,Hebrew Language,True,False
what city and state was the air force academy established?,El Paso County,False,False
what's the national sport of puerto rico?,Puerto Rico men's national volleyball team,True,True
what religion are people in russia?,Russian Orthodox Church,True,False
what countries did queen victoria reign over?,United Kingdom,False,False
where did dr seuss go to school?,Dartmouth College,False,False
what are dollars called in spain?,Peseta,True,False
what high school did tim allen go to?,Seaholm High School,True,True
what is the world's tallest building in dubai called?,Burj Khalifa,True,True
where does asiana airlines fly to?,John F. Kennedy International Airport,False,False
what movie did angelina jolie direct?,In the Land of Blood and Honey,True,True
where to visit near bangkok?,MRT Blue Line,True,True
who does christina milian have a baby by?,The-Dream,False,False
what year did tut became king?,Eighteenth Dynasty of Egypt,False,False
who is the current president of the dominican republic in 2010?,Leonel Fernández,True,True
who has been married to julia roberts?,Daniel Moder,False,False
where do baltimore ravens play?,M&T Bank Stadium,True,True
where does the un get its funding?,United Nations Security Council,True,True
what is the dominant language in israel?,Hebrew Language,False,False
what are the main languages of nigeria?,Ibibio Language,True,True
what jobs did ben franklin do?,Diplomat,False,False
what bible does the catholic church follow?,Book of Nehemiah,False,False
who plays lola bunny in the looney tunes show?,Britt McKillip,True,True
what stadium did the chicago cardinals play in?,University of Phoenix Stadium,True,True
who did rufus wainwright married?,Jörn Weisbrodt,False,False
where did c.s. lewis go to college?,Malvern College,False,False
what did nick clegg study at university?,Political philosophy,False,False
who is the president of the european union 2011?,Jerzy Buzek,True,True
what school did cassie bernall go to?,Columbine High School,False,False
what movie did james frey write?,Sugar: The Fall of the West,True,False
what did st. matthew do?,The Gospel According to Matthew,True,True
when does harry potter come out on dvd deathly hallows 2?,The gospel according to Harry Potter,False,False
